headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Blemish","v.",". (a defect) sekoli letheba; (a difformity bohole.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Blend","v.","ho kopanya, tsuu kanya.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Bless","v.","ho hlohonolofatss boka.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Blind","v.","ho foufatsa, fahla the dust has blinded me leréle le mphahblile; be blind, ho foufale","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Blindness","vn.","bofofu.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Blink","v.","ho panya, quatsi ma","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Bliss","n.","boikétlo bo boholi bomalimatle.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Blister","n.","lechachetsi, letsua","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Blithe","adj.","e thabileng.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Block","n.","(piece of timber,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Blood-thirsty","adj.","ew vatang ho tsdlla mali, ea se-) hloho.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Bloodshed","n.","tsdlého ea mali, 5 tSdllo ea mali.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Bloom","n.","(blossom) palesa; h (beauty) botle.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Blossom","v.","palesa; v. ho","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Blot","v.","ho etsa matheba, si-\s lafatsa; to blot out, ho hlakéla; n. koli, lethe-5 ba., Blow, n, (a, stroke) kotlo, tja-0 bélo; (a calamity) tsie-5 tsi, sehloho., Blow, v. ho fdka, bulula; the wind és blowing, mo-é¢a oa foka; to blow a: trumpet, ho letsa phala; lo blow the fire, ho bu-i, tsurla mollo; ta blow out the candle, ho tima lebone; to blow up, ho","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Blue","adj.","e tala, e« putsua; | n. botala (bo kang ba 1 leholimo), boputsua (fem e pulutsoana).","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Blues","n.","plur. to be in the","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Blues","ho.","tepella.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Blunder","n.","phoso; v. ho ¢tsa phoso","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Blunt","adj.","e botsua. e nthi-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Blur","n.","letheba; v. ho sila1 fatsa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Blurt","v.","ho phamoha. l","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
