headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Bullet","n.","kulo, thdloana,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bullock","n.","pholo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bully","a.","sengange, senga-ngele,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bump","vw.","(a swelling) boru-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Bunch","n.","sehlopha, lesihla. I","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Bundle","n.","seshdba, ngata, sehlépha","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Bungle","v.","ho etsa mosebetsi ka mokhoa o sa_ tsebi-sahaleng. !","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Burden","n.","phahlo, boima, v. ho iméla. ]","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Burglar","n.","lesholu (le phu-nyang matl6 bosiu).","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Burial","n.","képélo I","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Burn","v.","(to destroy by fire) ho chesn; (to be on fire) I ho cha. thékha, tuka. /","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Burst","v.","(to get burst) ho","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Burweed","vn.","sehlaba-hilahane, = | mokadola. Bury. ¥ ho epélu, pata, sn.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Burying-place","v.","phupu. E","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Buse","adj.","e nyatséhang; to be base, ho khuahla-peha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_right.png","page_021_right.txt","",""
"Bush","n.","sehlahla","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Bushel","wn.",", morula. I","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Bushman","n.","moRoa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Bustle","n.","mofere-fere mose-betsing.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_right.png","page_031_right.txt","",""
